marka,model,cins,renk,numaralar,IMG_url,SKU,url,ozelliker,aciklama,eski_fiyat,yeni_fiyat
nike,nike AIR MAX 270 FLYKNIT,"
                                    ACHTUNG: Männergrößen","['nike AIR MAX 270 FLYKNIT BLACK/BLACK-WHITE', 'nike AIR MAX 270 FLYKNIT WORK BLUE/WHITE-BRAVE BLUE-TOTAL CRIMSON', 'nike AIR MAX 270 FLYKNIT WHITE/BLACK-RACER BLUE-TOTAL CRIMSON']","['40', '40 1/2', '41', '42', '42 1/2', '43', '44', '44 1/2', '45', '45 1/2', '46', '47', '47 1/2']",https://kickz.akamaized.net/de/media/images/p/600/nike-AIR_MAX_270_FLYKNIT-WHITE_BLACK_ANTHRACITE-1.jpg,AO1023-100,https://www.kickz.com/de/nike-sneakers-low-air-max-270-flyknit-white_black_anthracite-137090005, 100.0% Textile,"
Der 1973 erschienene Nike „Blazer“ war der erste Basketballschuh der Firma. Obwohl der Schuh für seine Zeit sehr funktionell war, und von der NBA Scoring-Maschine George „Iceman“ Gervin getragen wurde, kam Nike zunächst nicht gegen die Vormacht anderer Sportartikelhersteller an. Auch die folgenden Modelle der frühen 80er, wie der jetzt legendäre „Air Force 1“ und „Dunk“, brachten nicht den erwarteten Durchbruch. Bis sich Michael Jordan 1984/85 dafür entschied, mit Nike die NBA und die Welt der Basketballschuhe zu erobern. Während Nike mit dem „Blazer“ also nur freundlich an den Eingang der Basketballschuhwelt klopften, rissen sie dank des Erfolgs von „His Airness“ und seines „Air Jordan 1“ die ganze Tür aus den Angeln. 

","
                169,95 €","169,95"
nike,nike AIR MAX 98 SE,"
                                    ACHTUNG: Männergrößen",['nike AIR MAX 98 SE SAIL/SAIL-WHITE-SEPIA STONE'],"['40', '40 1/2', '42', '42 1/2', '43', '44', '45', '45 1/2', '46']",https://kickz.akamaized.net/de/media/images/p/600/nike-AIR_MAX_98_SE-TEAM_RED_HABANERO_RED_GYM_RED_WHITE-1.jpg,AO9380-600,https://www.kickz.com/de/nike-sneakers-low-air-max-98-se-team_red_habanero_red_gym_red_white-137096005, 49.0% Leather; 51.0% Textile,"
Der 1973 erschienene Nike „Blazer“ war der erste Basketballschuh der Firma. Obwohl der Schuh für seine Zeit sehr funktionell war, und von der NBA Scoring-Maschine George „Iceman“ Gervin getragen wurde, kam Nike zunächst nicht gegen die Vormacht anderer Sportartikelhersteller an. Auch die folgenden Modelle der frühen 80er, wie der jetzt legendäre „Air Force 1“ und „Dunk“, brachten nicht den erwarteten Durchbruch. Bis sich Michael Jordan 1984/85 dafür entschied, mit Nike die NBA und die Welt der Basketballschuhe zu erobern. Während Nike mit dem „Blazer“ also nur freundlich an den Eingang der Basketballschuhwelt klopften, rissen sie dank des Erfolgs von „His Airness“ und seines „Air Jordan 1“ die ganze Tür aus den Angeln. 

","
                184,95 €","184,95"
nike,nike W AIR MAX 97 UL '17 PRM,"
                                    ACHTUNG: Frauengrößen","[""nike W AIR MAX 97 UL '17 PRM LIGHT PUMICE/ANTHRACITE-FIBERGLASS"", ""nike W AIR MAX 97 UL '17 PRM BLACK/BLACK-VAST GREY""]","['36', '36 1/2', '37 1/2', '38', '38 1/2', '39', '40', '40 1/2', '41']",https://kickz.akamaized.net/de/media/images/p/600/nike-W_AIR_MAX_97_UL_17_PRM-VAST_GREY_OBSIDIAN_ELEMENTAL_ROSE-1.jpg,AO2325-003,https://www.kickz.com/de/nike-sneakers-low-w-air-max-97-ul-17-prm-vast_grey_obsidian_elemental_rose-137210005, 0.0% Leather; 22.0% Synthetic; 78.0% Textile; 0.0% Other,"
Der 1973 erschienene Nike „Blazer“ war der erste Basketballschuh der Firma. Obwohl der Schuh für seine Zeit sehr funktionell war, und von der NBA Scoring-Maschine George „Iceman“ Gervin getragen wurde, kam Nike zunächst nicht gegen die Vormacht anderer Sportartikelhersteller an. Auch die folgenden Modelle der frühen 80er, wie der jetzt legendäre „Air Force 1“ und „Dunk“, brachten nicht den erwarteten Durchbruch. Bis sich Michael Jordan 1984/85 dafür entschied, mit Nike die NBA und die Welt der Basketballschuhe zu erobern. Während Nike mit dem „Blazer“ also nur freundlich an den Eingang der Basketballschuhwelt klopften, rissen sie dank des Erfolgs von „His Airness“ und seines „Air Jordan 1“ die ganze Tür aus den Angeln. 

","
                189,95 €","189,95"
nike,nike AIR MORE MONEY,"
                                    ACHTUNG: Männergrößen","['nike AIR MORE MONEY BLACK/METALLIC SILVER-BLACK', 'nike AIR MORE MONEY BLACK/WHITE-BLACK']","['40', '40 1/2', '41', '42', '42 1/2', '43', '44', '44 1/2', '45', '45 1/2', '46', '47', '47 1/2', '48 1/2']",https://kickz.akamaized.net/de/media/images/p/600/nike-AIR_MORE_MONEY-WHITE_BLACK_CORAL_CHALK_WHITE-1.jpg,AJ2998-101,https://www.kickz.com/de/nike-sneakers-low-air-more-money-white_black_coral_chalk_white-135937004, 59.0% Leather; 2.0% Synthetic; 39.0% Textile,"
Der 1973 erschienene Nike „Blazer“ war der erste Basketballschuh der Firma. Obwohl der Schuh für seine Zeit sehr funktionell war, und von der NBA Scoring-Maschine George „Iceman“ Gervin getragen wurde, kam Nike zunächst nicht gegen die Vormacht anderer Sportartikelhersteller an. Auch die folgenden Modelle der frühen 80er, wie der jetzt legendäre „Air Force 1“ und „Dunk“, brachten nicht den erwarteten Durchbruch. Bis sich Michael Jordan 1984/85 dafür entschied, mit Nike die NBA und die Welt der Basketballschuhe zu erobern. Während Nike mit dem „Blazer“ also nur freundlich an den Eingang der Basketballschuhwelt klopften, rissen sie dank des Erfolgs von „His Airness“ und seines „Air Jordan 1“ die ganze Tür aus den Angeln. 

","
                169,95 €","169,95"
nike,nike W AIR MAX 270 FLYKNIT,"
                                    ACHTUNG: Frauengrößen","['nike W AIR MAX 270 FLYKNIT BLACK/WHITE-WHITE', 'nike W AIR MAX 270 FLYKNIT IGLOO/WHITE-IGLOO-CLEAR EMERALD']","['36', '36 1/2', '37 1/2', '38', '38 1/2', '39', '40', '40 1/2', '41']",https://kickz.akamaized.net/de/media/images/p/600/nike-W_AIR_MAX_270_FLYKNIT-WHITE_BLACK_PURE_PLATINUM-1.jpg,AH6803-100,https://www.kickz.com/de/nike-sneakers-low-w-air-max-270-flyknit-white_black_pure_platinum-137208007, 100.0% Textile,"
Der 1973 erschienene Nike „Blazer“ war der erste Basketballschuh der Firma. Obwohl der Schuh für seine Zeit sehr funktionell war, und von der NBA Scoring-Maschine George „Iceman“ Gervin getragen wurde, kam Nike zunächst nicht gegen die Vormacht anderer Sportartikelhersteller an. Auch die folgenden Modelle der frühen 80er, wie der jetzt legendäre „Air Force 1“ und „Dunk“, brachten nicht den erwarteten Durchbruch. Bis sich Michael Jordan 1984/85 dafür entschied, mit Nike die NBA und die Welt der Basketballschuhe zu erobern. Während Nike mit dem „Blazer“ also nur freundlich an den Eingang der Basketballschuhwelt klopften, rissen sie dank des Erfolgs von „His Airness“ und seines „Air Jordan 1“ die ganze Tür aus den Angeln. 

","
                169,95 €","169,95"
jordan,jordan AIR JORDAN 3 RETRO BG,"
                                    ACHTUNG: Kindergrößen","['jordan AIR JORDAN 3 RETRO BG WHITE/FIRE RED-CEMENT GREY-BLACK', 'jordan AIR JORDAN 3 RETRO BG BLACK/BLACK-WHITE']","['35+', '36', '36+', '37+', '38', '38+', '39', '40']",https://kickz.akamaized.net/de/media/images/p/600/AIR_JORDAN_3_RETRO_BG-WHITE_FIRE_RED_CEMENT_GREY_BLACK-1.jpg,398614-116,https://www.kickz.com/de/jordan-sneakers-low-air-jordan-3-retro-bg-white_fire_red_cement_grey_black-123471002, 66.0% Leather; 34.0% Synthetic,"
In Jordans Rookie-Saison erkannte die Basketballwelt schnell, mit wem sie es  zu tun hat. Er war nicht nur ein faszinierender Spieler, sein sympathisches Lächeln und charismatische Persönlichkeit zog die Menschen in seinen Bann - er war der perfekte Werbeträger. Das wusste auch Nike. Die Marke brauchte einen Kick-Starter und fand in Jordan einen Raketenantrieb.","
                139,95 €","139,95"
reebok,reebok CLUB C 85 FT,"
                                    ACHTUNG: Männergrößen",['reebok CLUB C 85 FT CHALK/SUNBAKED ORANGE/SKULL GREY/BLACK'],"['40', '40 1/2', '41', '42', '42 1/2', '43', '44', '44 1/2', '45 1/2']",https://kickz.akamaized.net/de/media/images/p/600/reebok-CLUB_C_85_FT-CHALK_SUNBAKED_ORANGE_SKULL_GREY_BLACK-1.jpg,BS9749,https://www.kickz.com/de/reebok-sneakers-low-club-c-85-ft-chalk_sunbaked_orange_skull_grey_black-133860001, LEATHER LOW ATHLETIC," ist eines der ältesten Unternehmen der Sportartikelindustrie und steht bis heute für ständig neue Innovationen. 1895 wurde die Firma als Familienbetrieb J.W.  Fosters and sons in Großbritannien gegründet. Vor allem mit der Entwicklung von Laufschuhen war das Unternehmen damals erfolgreich. 1958 benannten zwei Enkel von Foster die Firma in Reebok um. Weltweit beliebt wurde Reebok jedoch erst 1982, als der Frauen-Aerobic-Schuh ","
                99,95 €","99,95"
nike,nike AIR MAX 270 FLYKNIT,"
                                    ACHTUNG: Männergrößen","['nike AIR MAX 270 FLYKNIT BLACK/BLACK-WHITE', 'nike AIR MAX 270 FLYKNIT WORK BLUE/WHITE-BRAVE BLUE-TOTAL CRIMSON', 'nike AIR MAX 270 FLYKNIT WHITE/BLACK-RACER BLUE-TOTAL CRIMSON']","['40', '41', '42 1/2', '44', '45', '46', '47 1/2']",https://kickz.akamaized.net/de/media/images/p/600/nike-AIR_MAX_270_FLYKNIT-BLACK_BLACK_WHITE-1.jpg,AO1023-001,https://www.kickz.com/de/nike-sneakers-low-air-max-270-flyknit-black_black_white-137090001, 100.0% Synthetic,"
Der 1973 erschienene Nike „Blazer“ war der erste Basketballschuh der Firma. Obwohl der Schuh für seine Zeit sehr funktionell war, und von der NBA Scoring-Maschine George „Iceman“ Gervin getragen wurde, kam Nike zunächst nicht gegen die Vormacht anderer Sportartikelhersteller an. Auch die folgenden Modelle der frühen 80er, wie der jetzt legendäre „Air Force 1“ und „Dunk“, brachten nicht den erwarteten Durchbruch. Bis sich Michael Jordan 1984/85 dafür entschied, mit Nike die NBA und die Welt der Basketballschuhe zu erobern. Während Nike mit dem „Blazer“ also nur freundlich an den Eingang der Basketballschuhwelt klopften, rissen sie dank des Erfolgs von „His Airness“ und seines „Air Jordan 1“ die ganze Tür aus den Angeln. 

","
                169,95 €","169,95"
nike,nike AIR MAX 97,"
                                    ACHTUNG: Männergrößen","['nike AIR MAX 97 black/white', 'nike AIR MAX 97 WOLF GREY/TOUR YELLOW-GYM BLUE-WHITE', 'nike AIR MAX 97 WHITE/WOLF GREY-BLACK']","['40 1/2', '41', '42', '42 1/2', '43', '44', '44 1/2', '45', '45 1/2', '46', '47', '47 1/2', '48 1/2']",https://kickz.akamaized.net/de/media/images/p/600/nike-AIR_MAX_97-WHITE_PINK_BLAST_KINETIC_GREEN_BLACK-1.jpg,921826-102,https://www.kickz.com/de/nike-sneakers-low-air-max-97-white_pink_blast_kinetic_green_black-933627008, 49.0% Synthetic; 51.0% Textile,"
Der 1973 erschienene Nike „Blazer“ war der erste Basketballschuh der Firma. Obwohl der Schuh für seine Zeit sehr funktionell war, und von der NBA Scoring-Maschine George „Iceman“ Gervin getragen wurde, kam Nike zunächst nicht gegen die Vormacht anderer Sportartikelhersteller an. Auch die folgenden Modelle der frühen 80er, wie der jetzt legendäre „Air Force 1“ und „Dunk“, brachten nicht den erwarteten Durchbruch. Bis sich Michael Jordan 1984/85 dafür entschied, mit Nike die NBA und die Welt der Basketballschuhe zu erobern. Während Nike mit dem „Blazer“ also nur freundlich an den Eingang der Basketballschuhwelt klopften, rissen sie dank des Erfolgs von „His Airness“ und seines „Air Jordan 1“ die ganze Tür aus den Angeln. 

","
                179,95 €","179,95"
nike,nike AIR MAX 93,"
                                    ACHTUNG: Männergrößen","['nike AIR MAX 93 WHITE/SPORT TURQ-BLACK', 'nike AIR MAX 93 WHITE/HABANERO RED-NEUTRAL INDIGO-BLACK']","['40 1/2', '41', '42', '42 1/2', '43', '44', '44 1/2', '45', '45 1/2', '46', '47', '48 1/2']",https://kickz.akamaized.net/de/media/images/p/600/nike-AIR_MAX_93-WHITE_CRIMSON_BLISS_KINETIC_GREEN_BLACK-1.jpg,306551-105,https://www.kickz.com/de/nike-sneakers-low-air-max-93-white_crimson_bliss_kinetic_green_black-908107006, 100.0% Textile,"
Der 1973 erschienene Nike „Blazer“ war der erste Basketballschuh der Firma. Obwohl der Schuh für seine Zeit sehr funktionell war, und von der NBA Scoring-Maschine George „Iceman“ Gervin getragen wurde, kam Nike zunächst nicht gegen die Vormacht anderer Sportartikelhersteller an. Auch die folgenden Modelle der frühen 80er, wie der jetzt legendäre „Air Force 1“ und „Dunk“, brachten nicht den erwarteten Durchbruch. Bis sich Michael Jordan 1984/85 dafür entschied, mit Nike die NBA und die Welt der Basketballschuhe zu erobern. Während Nike mit dem „Blazer“ also nur freundlich an den Eingang der Basketballschuhwelt klopften, rissen sie dank des Erfolgs von „His Airness“ und seines „Air Jordan 1“ die ganze Tür aus den Angeln. 

","
                144,95 €","144,95"
jordan,JORDAN 3 RETRO BT,"
                                    ACHTUNG: Kindergrößen","['JORDAN 3 RETRO BT WHITE/FIRE RED-CEMENT GREY-BLACK', 'JORDAN 3 RETRO BT BLACK/BLACK-WHITE']","['25', '26']",https://kickz.akamaized.net/de/media/images/p/600/JORDAN_3_RETRO_BT-WHITE_FIRE_RED_CEMENT_GREY_BLACK-1.jpg,832033-116,https://www.kickz.com/de/jordan-sneakers-low-jordan-3-retro-bt-white_fire_red_cement_grey_black-123499004, 67.0% Leather; 33.0% Synthetc,"
In Jordans Rookie-Saison erkannte die Basketballwelt schnell, mit wem sie es  zu tun hat. Er war nicht nur ein faszinierender Spieler, sein sympathisches Lächeln und charismatische Persönlichkeit zog die Menschen in seinen Bann - er war der perfekte Werbeträger. Das wusste auch Nike. Die Marke brauchte einen Kick-Starter und fand in Jordan einen Raketenantrieb.","
                59,95 €","59,95"
puma,puma Easy Rider LunaLux WOMENS,"
                                    ACHTUNG: Frauengrößen","['puma Easy Rider LunaLux WOMENS Cream Tan', 'puma Easy Rider LunaLux WOMENS SMOKED PEARL']","['36', '37', '37 1/2', '38', '38 1/2', '39', '40', '41']",https://kickz.akamaized.net/de/media/images/p/600/puma-Easy_Rider_LunaLux_WOMENS-Cream_Tan-1.jpg,366117 02,https://www.kickz.com/de/puma-sneakers-low-easy-rider-lunalux-womens-cream_tan-134486001, Leather 100%,"

Ende der 90er Jahre stellte die Firma die Weichen für das neue Jahrtausend. Als erster Sportartikelhersteller arbeitete Puma mit einer Modedesignerin zusammen – und das war keine geringere als Jil Sander. Seitdem steht die Marke nicht nur für hochwertige Sportschuhe, sondern auch für extravaganten Lifestyle und ultramoderne Sneaker. Dazu legen die Designer immer wieder erfolgreiche Sportschuhe aus den 60er oder 70er Jahren neu auf. Retro Sneaker wie der Puma Clyde oder Suede Classic haben sich mittlerweile zu absoluten Klassikern entwickelt und werden auf allen Straßen gerne gesehen.","
                89,95 €","89,95"
puma,puma Easy Rider LunaLux WOMENS,"
                                    ACHTUNG: Frauengrößen","['puma Easy Rider LunaLux WOMENS Cream Tan', 'puma Easy Rider LunaLux WOMENS SMOKED PEARL']","['36', '37', '37 1/2', '38', '38 1/2', '39', '40', '41']",https://kickz.akamaized.net/de/media/images/p/600/puma-Easy_Rider_LunaLux_WOMENS-SMOKED_PEARL-1.jpg,366117 01,https://www.kickz.com/de/puma-sneakers-low-easy-rider-lunalux-womens-smoked_pearl-134486003, Leather 100%,"

Ende der 90er Jahre stellte die Firma die Weichen für das neue Jahrtausend. Als erster Sportartikelhersteller arbeitete Puma mit einer Modedesignerin zusammen – und das war keine geringere als Jil Sander. Seitdem steht die Marke nicht nur für hochwertige Sportschuhe, sondern auch für extravaganten Lifestyle und ultramoderne Sneaker. Dazu legen die Designer immer wieder erfolgreiche Sportschuhe aus den 60er oder 70er Jahren neu auf. Retro Sneaker wie der Puma Clyde oder Suede Classic haben sich mittlerweile zu absoluten Klassikern entwickelt und werden auf allen Straßen gerne gesehen.","
                89,95 €","89,95"
nike,nike AIR MAX 1 (GS),"
                                    ACHTUNG: Kindergrößen","['nike AIR MAX 1 (GS) WHITE/TOUR YELLOW-BLUE RECALL', 'nike AIR MAX 1 (GS) WHITE/BLACK-WOLF GREY-GUNSMOKE', 'nike AIR MAX 1 (GS) WHITE/ROYAL TINT-WHITE', 'nike AIR MAX 1 (GS) SAIL/VINTAGE CORAL-MARS STONE', 'nike AIR MAX 1 (GS) WHITE/METALLIC GOLD-GUNSMOKE', 'nike AIR MAX 1 (GS) black/white']","['36', '36+', '37+', '38', '38+', '39', '40']",https://kickz.akamaized.net/de/media/images/p/600/nike-AIR_MAX_1_GS-black_white-1.jpg,807602-001,https://www.kickz.com/de/nike-sneakers-low-air-max-1-gs-black_white-107893013, 72.0% Leather 28.0% Textile,"
Der 1973 erschienene Nike „Blazer“ war der erste Basketballschuh der Firma. Obwohl der Schuh für seine Zeit sehr funktionell war, und von der NBA Scoring-Maschine George „Iceman“ Gervin getragen wurde, kam Nike zunächst nicht gegen die Vormacht anderer Sportartikelhersteller an. Auch die folgenden Modelle der frühen 80er, wie der jetzt legendäre „Air Force 1“ und „Dunk“, brachten nicht den erwarteten Durchbruch. Bis sich Michael Jordan 1984/85 dafür entschied, mit Nike die NBA und die Welt der Basketballschuhe zu erobern. Während Nike mit dem „Blazer“ also nur freundlich an den Eingang der Basketballschuhwelt klopften, rissen sie dank des Erfolgs von „His Airness“ und seines „Air Jordan 1“ die ganze Tür aus den Angeln. 

","
                99,95 €","99,95"
